Unique issues: 78
Min: 122, Max: 199
#122  audit-wiring                              BannerColorPersistence: MobilePartyVisual_AddCharacterToPartyIcon_Patch wired but never in
#123  audit-impl                                audit(impl): Messengers — singleton-state-reset gap + mission-null leak
#124  audit-impl                                audit(impl): BannerInjection — singleton stale exclusions across campaigns + perf
#125  audit-impl                                audit(impl): CharacterCreation — ADR-007 violations in service + IoC.Resolve in service 
#126  audit-impl                                audit(impl): InitialChildGeneration — config NaN/Infinity + crash on zero-adult clan
#127  audit-impl                                audit(impl): NamedCompanions — Review #23 regressed in Prisoner+Fugitive states + single
#128  audit-impl                                audit(impl): CareerSystem — SyncData mutates on save + NaN config + ability cache stale
#129  audit-impl                                audit(impl): Diplomacy — WarOfTheRing.CurrentPhase unsaved + config validation gaps
#130  audit-impl                                audit(impl): HeroRace — _heroRaceMap singleton stale across campaigns + null-guard gaps
#131  audit-impl                                audit(impl): RaceAge — TaomPregnancyModel ADR-007 violation + singleton race cache stale
#132  audit-impl                                audit(impl): Siege — empty SyncData loses all active defense events on every load + R1
#133  audit-impl                                audit(impl): SpecialResources — SyncData clamps wrong cap + ScreenManager event leak + R
#134  audit-impl                                audit(impl): Siege — TaomSiegeEventModel party.MobileParty.HasPerk unguarded NRE for gar
#135  audit-impl                                audit(impl): CulturalFeats — TaomPartySpeedModel Campaign.Current.MapSceneWrapper unguar
#136  audit-impl                                audit(impl): StartupResources — Gold/Influence config validation + dead-guard cleanup
#137  audit-impl                                audit(impl): Arena — TaomTournamentModel inline branching + unguarded Campaign.Current c
#138  audit-impl                                audit(impl): ArmyTargeting — TaomTargetScoreModel inline ternary + early-return branchin
#139  audit-impl                                audit(impl): CompanionTactics — SaveableTypeDefiner container collision risk + silent Sy
#140  audit-impl                                audit(impl): BattleBalance — IoC.Resolve in TaomPartyHealingModel + rule-4 + config vali
#141  audit-impl                                audit(impl): EquipPresets — Patch33 concrete cast + UX over-count
#142  audit-impl                                audit(impl): CareerSystem GameModels — UpdateAgentStats inline + ApplyDamage branching +
#143  audit-impl                                audit(impl): FiefManagement — silent swap-restore failure + presenter Reset() incomplete
#144  audit-impl                                audit(impl): CulturalFeats — systemic rule-4 across all 16 models + 6 specific bugs (7 P
#145  audit-impl                                audit(impl): Encyclopedia — TaomInformationRestrictionModel reaches TaomSettings.Instanc
#146  audit-impl                                audit(impl): QuickActions — per-save IsSearchAvailable contract broken by reconcilers
#147  audit-impl                                audit(impl): Execution — TaomExecutionRelationModel architectural smell (hook injected i
#148  audit-impl                                audit(impl): TroopProgression — TaomPartyWageModel inline branching + cross-feature Care
#149  audit-impl                                CompanionTactics Patch35 SetMovementOrder: no team filter -> TroopStanceManager race
#150  audit-impl                                BannerColor MapConversationTableau leader/bodyguard color writes are silent no-ops
#151  audit-impl                                HeroRace ActionSetCode patch: non-static class + likely no-op duplicate of vanilla
#152  audit-impl                                Diplomacy EndAlliance block leaves caller in inconsistent state (duplicate alliance propos
#153  audit-impl                                Diplomacy DeclareWarAction block skips OnWarDeclared event dispatch
#154  audit-impl                                FiefManagement: verify GauntletFiefManagementScreen implements IGameStateListener
#155  audit-impl                                SmartCavalryAI CavalryChargeService._states has no lock (structural fragility)
#156  audit-impl                                BattleScenes _isRetrying non-volatile + Thread.Sleep in Prefix (dormant; disabled feature)
