# Armoury mesh catalogue. GENERATED by tools/generate_armory_catalogue.py, do not hand-edit.
# source=LOTRLOME_Armory/Assets  tpacs=4364  metameshes=4456  physicsshapes=383
# Regenerate after any art drop. `--diff` classifies rename vs move vs delete.
mesh	kind	prefix	culture	sub	category	tier	variant	folder	tpac	referenced	source
am_glorfindel_body	metamesh	-	rivendell	-	body	-	-	Rivendell	Rivendell/Glorfindel/am_glorfindel_armor_geo.tpac	Y	parsed
am_glorfindel_boots	metamesh	-	rivendell	-	boots	-	-	Rivendell	Rivendell/Glorfindel/am_glorfindel_armor_geo.tpac	Y	parsed
am_glorfindel_gauntlets	metamesh	-	rivendell	-	bracer	-	-	Rivendell	Rivendell/Glorfindel/am_glorfindel_armor_geo.tpac	Y	parsed
am_glorfindel_pauldrons	metamesh	-	rivendell	-	pauldron	-	-	Rivendell	Rivendell/Glorfindel/am_glorfindel_armor_geo.tpac	Y	parsed
am_golden_flower_knight_body_a01	metamesh	-	rivendell	-	body	-	a01	Rivendell	Rivendell/Flower Knights/am_golden_knight_body_geo.tpac	Y	parsed
am_golden_flower_knight_body_a02	metamesh	-	rivendell	-	body	-	a02	Rivendell	Rivendell/Flower Knights/am_golden_knight_body_geo.tpac	Y	parsed
am_golden_flower_knight_body_grey_a01	metamesh	-	rivendell	-	body	-	a01	Rivendell	Rivendell/Flower Knights/am_golden_knight_body_geo.tpac	Y	parsed
am_golden_flower_knight_body_grey_a02	metamesh	-	rivendell	-	body	-	a02	Rivendell	Rivendell/Flower Knights/am_golden_knight_body_geo.tpac	Y	parsed
am_golden_flower_knight_boots	metamesh	-	rivendell	-	boots	-	-	Rivendell	Rivendell/Flower Knights/am_golden_knight_boots_geo.tpac	Y	parsed
am_golden_flower_knight_gauntlets	metamesh	-	rivendell	-	bracer	-	-	Rivendell	Rivendell/Flower Knights/am_golden_knight_gauntlets_geo.tpac	Y	parsed
am_golden_flower_knight_helmet_a01	metamesh	-	rivendell	-	helmet	-	a01	Rivendell	Rivendell/Flower Knights/am_golden_knight_helmets_geo.tpac	Y	parsed
am_golden_flower_knight_helmet_a01_masked	metamesh	-	rivendell	-	helmet	-	-	Rivendell	Rivendell/Flower Knights/am_golden_knight_helmets_geo.tpac	Y	parsed
am_golden_flower_knight_helmet_a01_mohawk	metamesh	-	rivendell	-	helmet	-	-	Rivendell	Rivendell/Flower Knights/am_golden_knight_helmets_geo.tpac	Y	parsed
am_golden_flower_knight_helmet_b01	metamesh	-	rivendell	-	helmet	-	b01	Rivendell	Rivendell/Flower Knights/am_golden_knight_helmets_geo.tpac	Y	parsed
am_golden_flower_knight_helmet_b01_masked	metamesh	-	rivendell	-	helmet	-	-	Rivendell	Rivendell/Flower Knights/am_golden_knight_helmets_geo.tpac	Y	parsed
am_golden_flower_knight_helmet_b02	metamesh	-	rivendell	-	helmet	-	b02	Rivendell	Rivendell/Flower Knights/am_golden_knight_helmets_geo.tpac	Y	parsed
am_golden_flower_knight_helmet_b02_masked	metamesh	-	rivendell	-	helmet	-	-	Rivendell	Rivendell/Flower Knights/am_golden_knight_helmets_geo.tpac	Y	parsed
am_golden_flower_knight_helmet_b03	metamesh	-	rivendell	-	helmet	-	b03	Rivendell	Rivendell/Flower Knights/am_golden_knight_helmets_geo.tpac	Y	parsed
am_golden_flower_knight_helmet_b03_masked	metamesh	-	rivendell	-	helmet	-	-	Rivendell	Rivendell/Flower Knights/am_golden_knight_helmets_geo.tpac	Y	parsed
am_golden_flower_knight_pauldrons_a01	metamesh	-	rivendell	-	pauldron	-	a01	Rivendell	Rivendell/Flower Knights/am_golden_knight_pauldrons_geo.tpac	Y	parsed
am_golden_flower_knight_pauldrons_a02	metamesh	-	rivendell	-	pauldron	-	a02	Rivendell	Rivendell/Flower Knights/am_golden_knight_pauldrons_geo.tpac	Y	parsed
am_golden_flower_knight_pauldrons_grey_a01	metamesh	-	rivendell	-	pauldron	-	a01	Rivendell	Rivendell/Flower Knights/am_golden_knight_pauldrons_geo.tpac	Y	parsed
am_golden_flower_knight_pauldrons_grey_a02	metamesh	-	rivendell	-	pauldron	-	a02	Rivendell	Rivendell/Flower Knights/am_golden_knight_pauldrons_geo.tpac	Y	parsed
anduril_blade	metamesh	-	gondor	-	weapon	-	-	gondor_weapons	gondor_weapons/swords/anduril_sword_geo.tpac	N	parsed
anduril_guard	metamesh	-	gondor	-	weapon	-	-	gondor_weapons	gondor_weapons/swords/anduril_sword_geo.tpac	N	parsed
anduril_handle	metamesh	-	gondor	-	weapon	-	-	gondor_weapons	gondor_weapons/swords/anduril_sword_geo.tpac	N	parsed
anduril_pommel	metamesh	-	gondor	-	weapon	-	-	gondor_weapons	gondor_weapons/swords/anduril_sword_geo.tpac	N	parsed
bo_cap_cts_rohan_shield	physicsshape	bo	rohan	rohan	shield	-	-	shield	shield/Rohan/cts_rohan_shield_1_2_geo.tpac	Y	parsed
bo_cap_dunland_caerdh_shield	physicsshape	bo	dunland	caerdh	shield	-	-	dunland_weapons	dunland_weapons/dunland_caerdh_shields_geo.tpac	Y	parsed
bo_cap_dunland_wulf_shield_a	physicsshape	bo	dunland	wulf	shield	-	a	dunland_weapons	dunland_weapons/dunland_wulf_shields_geo.tpac	Y	parsed
bo_cap_dunland_wulf_shield_c	physicsshape	bo	dunland	wulf	shield	-	c	dunland_weapons	dunland_weapons/dunland_wulf_shields_geo.tpac	Y	parsed
bo_cap_dunland_wulf_shield_e	physicsshape	bo	dunland	wulf	shield	-	e	dunland_weapons	dunland_weapons/dunland_wulf_shields_geo.tpac	Y	parsed
bo_cap_mordor_shield_mid_a	physicsshape	bo	mordor	-	shield	-	a	mordor_props	mordor_props/black_uruk_weapons/SM_Uruk_Weapons_B_geo.tpac	Y	parsed
bo_cap_mordor_shield_small_a	physicsshape	bo	mordor	-	shield	-	a	mordor_props	mordor_props/black_uruk_weapons/SM_Uruk_Weapons_B_geo.tpac	Y	parsed
bo_cap_mordor_shield_tower_a	physicsshape	bo	mordor	-	shield	-	a	mordor_props	mordor_props/black_uruk_weapons/SM_Uruk_Weapons_B_geo.tpac	Y	parsed
bo_cap_mordor_shield_tower_b	physicsshape	bo	mordor	-	shield	-	b	mordor_props	mordor_props/black_uruk_weapons/SM_Uruk_Weapons_B_geo.tpac	Y	parsed
bo_cap_rohan_horse_shield	physicsshape	bo	rohan	-	barding	-	-	shield	shield/Rohan/Rohan_horse_shield_geo.tpac	N	parsed
bo_cap_sm_dwarf_erebor_shield_leather	physicsshape	bo	dwarf	erebor	shield	-	-	erebor_weapons	erebor_weapons/erebor_weapons/SM_Dwarf_Erebor_Shields_geo.tpac	Y	parsed
bo_cap_sm_dwarf_erebor_shield_metal	physicsshape	bo	dwarf	erebor	shield	-	-	erebor_weapons	erebor_weapons/erebor_weapons/SM_Dwarf_Erebor_Shields_geo.tpac	Y	parsed
bo_cap_sm_dwarf_erebor_shield_metal_d	physicsshape	bo	dwarf	erebor	shield	-	d	erebor_weapons	erebor_weapons/erebor_weapons/SM_Dwarf_Erebor_Shields_geo.tpac	Y	parsed
