File,ID,Name,Culture,Slot,Tier,Variant,Old Primary,New Primary,Delta,Old Weight,New Weight,Old Material,New Material,Status
arnor\head_armors.xml,sk_ar_art_helmet_inf_light_a,[Arnor] Infantry Light Helmet,arnor,head,light,0,18,17,-1,2.0,1.5,Plate,Leather,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_inf_med_a,[Arnor] Infantry Helmet,arnor,head,medium,0,24,26,2,3.5,2.5,Plate,Chainmail,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_inf_med_b,[Arnor] Infantry Helmet,arnor,head,medium,1,24,27,3,3.5,2.5,Plate,Chainmail,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_inf_hvy_a,[Arnor] Infantry Heavy Helmet,arnor,head,heavy,0,30,34,4,4.5,3.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_inf_hvy_b,[Arnor] Infantry Heavy Helmet,arnor,head,heavy,1,30,35,5,4.5,3.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_inf_elite_a,[Arnor] Infantry Elite Helmet,arnor,head,elite,0,36,42,6,5.0,4.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_inf_elite_b,[Arnor] Infantry Elite Helmet,arnor,head,elite,1,36,43,7,5.0,4.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_noble_light_a,[Arnor] Noble Light Helmet,arnor,head,light,0,22,17,-5,2.5,1.5,Plate,Leather,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_noble_med_a,[Arnor] Noble Helmet,arnor,head,medium,0,28,26,-2,4.0,2.5,Plate,Chainmail,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_noble_med_b,[Arnor] Noble Helmet,arnor,head,medium,1,28,27,-1,4.0,2.5,Plate,Chainmail,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_noble_heavy_a,[Arnor] Noble Heavy Helmet,arnor,head,heavy,0,34,34,0,5.0,3.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_noble_heavy_b,[Arnor] Noble Heavy Helmet,arnor,head,heavy,1,34,35,1,5.0,3.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_noble_elite_a,[Arnor] Noble Elite Helmet,arnor,head,elite,0,40,42,2,5.5,4.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_noble_elite_b,[Arnor] Noble Elite Helmet,arnor,head,elite,1,40,43,3,5.5,4.5,Plate,Plate,CHANGED
arnor\head_armors.xml,sk_ar_art_helmet_noble_lord_b,[Arnor] Noble Lord Helmet,arnor,head,lord,1,42,51,9,5.5,5.0,Plate,Plate,CHANGED
