id,name,age,voice,default_group,is_hero,is_female,culture,skill_template,occupation,face_mesh_cache,is_new,is_dead,OneHanded,TwoHanded,Polearm,Bow,Crossbow,Throwing,Riding,Athletics,Crafting,Scouting,Tactics,Roguery,Charm,Leadership,Trade,Steward,Medicine,Engineering
dead_lord_2_1,{=aom_dead_lord_2_1_name}Olek the Old,67,curt,Infantry,true,,Culture.sturgia,SkillSet.spc_peltast_skills,Lord,true,,YES,,,,,,,,,,,,,,,,,,
dead_lord_2_2,{=aom_dead_lord_2_2_name}Varra,20,softspoken,Infantry,true,true,Culture.sturgia,SkillSet.spc_diplomat_skills_rookie,Lord,true,,YES,,,,,,,,,,,,,,,,,,
dead_lord_3_1,{=aom_dead_lord_3_1_name}Nimr,32,ironic,Infantry,true,,Culture.aserai,SkillSet.spc_spy_master_skills,Lord,true,,YES,,,,,,,,,,,,,,,,,,
dead_lord_6_1,{=aom_dead_lord_6_1_name}Urkhun,71,curt,Infantry,true,,Culture.khuzait,SkillSet.spc_archer_skills,Lord,true,,YES,,,,,,,,,,,,,,,,,,
dead_lord_6_2,{=aom_dead_lord_6_2_name}Solun,61,curt,Infantry,true,,Culture.khuzait,SkillSet.spc_shock_troop_skills,Lord,true,,YES,,,,,,,,,,,,,,,,,,
dead_lord_6_3,{=aom_dead_lord_6_3_name}Kuyug,71,curt,Infantry,true,,Culture.khuzait,SkillSet.spc_mounted_archery_skills,Lord,true,,YES,,,,,,,,,,,,,,,,,,
dead_lord_6_4,{=aom_dead_lord_6_4_name}Undul,51,curt,Infantry,true,,Culture.khuzait,SkillSet.spc_dandy_skills,Lord,true,,YES,,,,,,,,,,,,,,,,,,
lord_1_1,"{=aom_lord_1_1_name}Brenin Wulf, the Ironhand",62,curt,Infantry,true,,Culture.empire,SkillSet.spc_politician_skills_ruler,Lord,true,,,260,190,160,110,60,150,90,230,70,170,220,,190,200,110,210,90,
lord_1_10,{=aom_lord_1_10_name}Melkea,45,ironic,Cavalry,true,true,Culture.empire,SkillSet.spc_chatelaine_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_11,{=aom_lord_1_11_name}Ciryandur,51,curt,Infantry,true,,Culture.empire,SkillSet.spc_faris_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_111,{=aom_lord_1_111_name}Casinon,19,ironic,HorseArcher,true,,Culture.empire,SkillSet.spc_mounted_archery_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_12,{=aom_lord_1_12_name}Lysica,40,softspoken,Cavalry,true,true,Culture.empire,SkillSet.spc_swordsman_skills,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_14,{=aom_lord_1_14_name}Mouth of Sauron,42,softspoken,Infantry,true,true,Culture.empire,SkillSet.spc_intriguer_skills_ruler,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_15,{=aom_lord_1_15_name}Witch-King of Angmar,62,softspoken,Infantry,true,,Culture.empire,SkillSet.spc_trader_skills,Lord,true,,,350,320,330,200,150,180,340,250,50,200,350,,100,300,50,250,80,
lord_1_155,"{=aom_lord_1_155_name}NazgÃ»l, The Dark Marshall ",18,ironic,Infantry,true,,Culture.empire,SkillSet.spc_swordsman_skills_rookie,Lord,true,,,300,310,310,200,150,180,350,310,50,300,350,,100,290,50,250,80,
lord_1_16,"{=aom_lord_1_16_name}NazgÃ»l, The Knight of Umbar",50,softspoken,Infantry,true,true,Culture.empire,SkillSet.spc_diplomat_skills,Lord,true,,,300,310,310,200,150,180,350,310,50,300,350,,100,290,50,250,80,
lord_1_17,{=aom_lord_1_17_name}Sauron - Just To View Armor,50,curt,Infantry,true,,Culture.empire,SkillSet.spc_siege_engineering_skills,Lord,true,,,300,300,300,200,150,300,300,300,550,300,350,,500,305,350,310,250,
lord_1_177,{=aom_lord_1_177_name}Honoratus,19,curt,Infantry,true,,Culture.empire,SkillSet.spc_spy_master_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_18,{=aom_lord_1_18_name}Jathea,48,curt,Infantry,true,true,Culture.empire,SkillSet.spc_phalanx_skills_rookie,Lord,true,,,,,,,,,,,,,,,,,,,,
lord_1_1_1,{=aom_lord_1_1_1_name}Eldith Grey-Claw,32,ironic,Infantry,true,true,Culture.empire,SkillSet.spc_chatelaine_skills,Lord,true,,,225,160,130,120,60,150,50,210,80,150,170,,130,110,80,120,100,
