piece_id,weapon_id,culture,template,points,modifier,is_hero,is_polearm,old_swing_factor,new_swing_factor,old_thrust_factor,new_thrust_factor,changed
wm_dol_goldur_1h_mace_a01_blade,wm_dol_goldur_1h_mace_a01,dolguldur,Mace,-3,0.715,False,False,4.95,3.54,,,True
wm_dol_goldur_1h_mace_a02_blade,wm_dol_goldur_1h_mace_a02,dolguldur,Mace,-3,0.715,False,False,4.95,3.54,,,True
wm_dol_goldur_1h_mace_a03_blade,wm_dol_goldur_1h_mace_a03,dolguldur,Mace,-3,0.715,False,False,4.95,3.54,,,True
wm_dol_goldur_1h_sword_a01_blade,wm_dol_goldur_1h_sword_a01,dolguldur,OneHandedSword,-3,0.715,False,False,3.3,2.36,2.97,2.12,True
wm_dol_goldur_1h_sword_a02_blade,wm_dol_goldur_1h_sword_a02,dolguldur,OneHandedSword,-3,0.715,False,False,3.96,2.83,2.42,1.73,True
wm_dol_goldur_1h_sword_a03_blade,wm_dol_goldur_1h_sword_a03,dolguldur,OneHandedSword,-3,0.715,False,False,3.85,2.75,2.2,1.57,True
wm_dol_goldur_2h_axe_a01_blade,wm_dol_goldur_axe_a01,dolguldur,TwoHandedAxe,-3,0.715,False,False,3.85,2.75,,,True
wm_dol_goldur_2h_axe_a02_blade,wm_dol_goldur_axe_a02,dolguldur,TwoHandedAxe,-3,0.715,False,False,4.29,3.07,,,True
wm_dol_goldur_2h_axe_a03_blade,wm_dol_goldur_axe_a03,dolguldur,TwoHandedAxe,-3,0.715,False,False,4.07,2.91,,,True
wm_dol_goldur_2h_axe_a04_blade,wm_dol_goldur_axe_a04,dolguldur,TwoHandedAxe,-3,0.715,False,False,4.29,3.07,,,True
wm_dol_goldur_2h_halberd_a01_blade,wm_dol_goldur_halberd_a01,dolguldur,TwoHandedPolearm,-3,0.715,False,True,6.05,4.33,1.1,0.79,True
wm_dol_goldur_2h_halberd_a02_blade,wm_dol_goldur_halberd_a02,dolguldur,TwoHandedPolearm,-3,0.715,False,True,5.61,4.01,3.3,2.36,True
wm_dol_goldur_2h_halberd_a03_blade,wm_dol_goldur_halberd_a03,dolguldur,TwoHandedPolearm,-3,0.715,False,True,6.05,4.33,1.1,0.79,True
wm_dol_goldur_2h_halberd_a04_blade,wm_dol_goldur_halberd_a04,dolguldur,TwoHandedPolearm,-3,0.715,False,True,6.05,4.33,1.1,0.79,True
wm_dol_goldur_2h_mace_a01_blade,wm_dol_goldur_2h_mace_a01,dolguldur,TwoHandedMace,-3,0.715,False,False,3.85,2.75,,,True
wm_dol_goldur_2h_mace_a02_blade,wm_dol_goldur_2h_mace_a02,dolguldur,TwoHandedMace,-3,0.715,False,False,3.85,2.75,,,True
wm_dol_goldur_2h_mace_a03_blade,wm_dol_goldur_2h_mace_a03,dolguldur,TwoHandedMace,-3,0.715,False,False,3.85,2.75,,,True
